"Attrition","Age","Gender","MaritalStatus","BusinessTravel","Department","DistanceFromHome","EducationField","JobRole","MonthlyIncome","JobSatisfaction","OverTime","PerformanceRating","YearsAtCompany"
"Yes",41,"Female","Single","Travel_Rarely","Sales",1,"Life Sciences","Sales Executive",5993,4,"Yes",3,6
"No",49,"Male","Married","Travel_Frequently","Research & Development",8,"Life Sciences","Research Scientist",5130,2,"No",4,10
"Yes",37,"Male","Single","Travel_Rarely","Research & Development",2,"Other","Laboratory Technician",2090,3,"Yes",3,0
"No",33,"Female","Married","Travel_Frequently","Research & Development",3,"Life Sciences","Research Scientist",2909,3,"Yes",3,8
"No",27,"Male","Married","Travel_Rarely","Research & Development",2,"Medical","Laboratory Technician",3468,2,"No",3,2
"No",32,"Male","Single","Travel_Frequently","Research & Development",2,"Life Sciences","Laboratory Technician",3068,4,"No",3,7
"No",59,"Female","Married","Travel_Rarely","Research & Development",3,"Medical","Laboratory Technician",2670,1,"Yes",4,1
"No",30,"Male","Divorced","Travel_Rarely","Research & Development",24,"Life Sciences","Laboratory Technician",2693,3,"No",4,1
"No",38,"Male","Single","Travel_Frequently","Research & Development",23,"Life Sciences","Manufacturing Director",9526,3,"No",4,9
"No",36,"Male","Married","Travel_Rarely","Research & Development",27,"Medical","Healthcare Representative",5237,3,"No",3,7
"No",35,"Male","Married","Travel_Rarely","Research & Development",16,"Medical","Laboratory Technician",2426,2,"No",3,5
"No",29,"Female","Single","Travel_Rarely","Research & Development",15,"Life Sciences","Laboratory Technician",4193,3,"Yes",3,9
"No",31,"Male","Divorced","Travel_Rarely","Research & Development",26,"Life Sciences","Research Scientist",2911,3,"No",3,5
"No",34,"Male","Divorced","Travel_Rarely","Research & Development",19,"Medical","Laboratory Technician",2661,4,"No",3,2
"Yes",28,"Male","Single","Travel_Rarely","Research & Development",24,"Life Sciences","Laboratory Technician",2028,3,"Yes",3,4
"No",29,"Female","Divorced","Travel_Rarely","Research & Development",21,"Life Sciences","Manufacturing Director",9980,1,"No",3,10
"No",32,"Male","Divorced","Travel_Rarely","Research & Development",5,"Life Sciences","Research Scientist",3298,2,"Yes",3,6
"No",22,"Male","Divorced","Non-Travel","Research & Development",16,"Medical","Laboratory Technician",2935,4,"Yes",3,1
"No",53,"Female","Married","Travel_Rarely","Sales",2,"Life Sciences","Manager",15427,4,"No",3,25
"No",38,"Male","Single","Travel_Rarely","Research & Development",2,"Life Sciences","Research Scientist",3944,4,"Yes",3,3
"No",24,"Female","Divorced","Non-Travel","Research & Development",11,"Other","Manufacturing Director",4011,3,"No",3,4
"Yes",36,"Male","Single","Travel_Rarely","Sales",9,"Life Sciences","Sales Representative",3407,1,"No",4,5
"No",34,"Female","Single","Travel_Rarely","Research & Development",7,"Life Sciences","Research Director",11994,2,"No",3,12
"No",21,"Male","Single","Travel_Rarely","Research & Development",15,"Life Sciences","Research Scientist",1232,4,"No",3,0
"Yes",34,"Male","Single","Travel_Rarely","Research & Development",6,"Medical","Research Scientist",2960,1,"No",3,4
"No",53,"Female","Divorced","Travel_Rarely","Research & Development",5,"Other","Manager",19094,3,"No",3,14
"Yes",32,"Female","Single","Travel_Frequently","Research & Development",16,"Life Sciences","Research Scientist",3919,1,"Yes",4,10
"No",42,"Male","Married","Travel_Rarely","Sales",8,"Marketing","Sales Executive",6825,2,"No",3,9
"No",44,"Female","Married","Travel_Rarely","Research & Development",7,"Medical","Healthcare Representative",10248,4,"No",3,22
"No",46,"Female","Single","Travel_Rarely","Sales",2,"Marketing","Manager",18947,1,"No",3,2
"No",33,"Male","Single","Travel_Rarely","Research & Development",2,"Medical","Laboratory Technician",2496,4,"No",3,1
"No",44,"Male","Married","Travel_Rarely","Research & Development",10,"Other","Healthcare Representative",6465,4,"Yes",3,4
"No",30,"Male","Single","Travel_Rarely","Research & Development",9,"Medical","Laboratory Technician",2206,3,"No",3,10
"Yes",39,"Male","Married","Travel_Rarely","Sales",5,"Technical Degree","Sales Representative",2086,4,"No",3,1
"Yes",24,"Male","Married","Travel_Rarely","Research & Development",1,"Medical","Research Scientist",2293,4,"Yes",3,2
"No",43,"Female","Divorced","Travel_Rarely","Research & Development",2,"Medical","Research Scientist",2645,3,"No",3,5
"Yes",50,"Male","Married","Travel_Rarely","Sales",3,"Marketing","Sales Representative",2683,3,"Yes",3,3
"No",35,"Female","Married","Travel_Rarely","Sales",2,"Marketing","Sales Representative",2014,4,"No",3,2
"No",36,"Female","Married","Travel_Rarely","Research & Development",5,"Life Sciences","Research Scientist",3419,1,"Yes",3,1
"No",33,"Female","Married","Travel_Frequently","Sales",1,"Life Sciences","Sales Executive",5376,1,"No",3,5
"No",35,"Male","Divorced","Travel_Rarely","Research & Development",4,"Other","Laboratory Technician",1951,4,"No",3,1
"No",27,"Female","Divorced","Travel_Rarely","Research & Development",2,"Life Sciences","Laboratory Technician",2341,1,"No",3,1
"Yes",26,"Male","Single","Travel_Rarely","Research & Development",25,"Life Sciences","Laboratory Technician",2293,3,"No",3,1
"No",27,"Male","Single","Travel_Frequently","Sales",8,"Life Sciences","Sales Executive",8726,3,"No",3,9
"No",30,"Female","Single","Travel_Frequently","Research & Development",1,"Medical","Laboratory Technician",4011,4,"No",4,12
"Yes",41,"Female","Married","Travel_Rarely","Research & Development",12,"Technical Degree","Research Director",19545,3,"No",3,22
"No",34,"Male","Single","Non-Travel","Sales",23,"Marketing","Sales Executive",4568,3,"No",4,9
"No",37,"Male","Married","Travel_Rarely","Research & Development",19,"Life Sciences","Research Scientist",3022,2,"No",4,1
"No",46,"Male","Single","Travel_Frequently","Sales",5,"Marketing","Sales Executive",5772,4,"Yes",4,9
"No",35,"Male","Married","Travel_Rarely","Research & Development",8,"Life Sciences","Laboratory Technician",2269,4,"No",3,1
"Yes",48,"Male","Single","Travel_Rarely","Research & Development",1,"Life Sciences","Laboratory Technician",5381,3,"Yes",3,1
"Yes",28,"Male","Single","Travel_Rarely","Research & Development",5,"Technical Degree","Laboratory Technician",3441,3,"Yes",3,2
"No",44,"Female","Divorced","Travel_Rarely","Sales",1,"Marketing","Sales Executive",5454,1,"Yes",4,4
"No",35,"Male","Married","Non-Travel","Research & Development",11,"Medical","Healthcare Representative",9884,1,"Yes",3,4
"No",26,"Female","Married","Travel_Rarely","Sales",23,"Marketing","Sales Executive",4157,4,"Yes",3,2
"No",33,"Female","Single","Travel_Frequently","Research & Development",1,"Life Sciences","Research Director",13458,4,"Yes",3,15
"No",35,"Male","Married","Travel_Frequently","Sales",18,"Life Sciences","Sales Executive",9069,1,"No",4,9
"No",35,"Female","Married","Travel_Rarely","Research & Development",23,"Medical","Laboratory Technician",4014,1,"Yes",3,2
"No",31,"Male","Divorced","Travel_Rarely","Research & Development",7,"Life Sciences","Laboratory Technician",5915,4,"No",4,7
"No",37,"Male","Divorced","Travel_Rarely","Research & Development",1,"Life Sciences","Manufacturing Director",5993,3,"No",3,7
"No",32,"Male","Married","Travel_Rarely","Research & Development",1,"Medical","Manufacturing Director",6162,4,"Yes",4,9
"No",38,"Female","Single","Travel_Frequently","Research & Development",29,"Life Sciences","Laboratory Technician",2406,4,"No",3,10
"No",50,"Female","Divorced","Travel_Rarely","Research & Development",7,"Medical","Research Director",18740,3,"Yes",3,27
"No",59,"Female","Single","Travel_Rarely","Sales",25,"Life Sciences","Sales Executive",7637,1,"No",3,21
"No",36,"Female","Divorced","Travel_Rarely","Research & Development",8,"Technical Degree","Healthcare Representative",10096,3,"No",3,17
"No",55,"Female","Divorced","Travel_Rarely","Research & Development",8,"Medical","Manager",14756,3,"Yes",3,5
"No",36,"Male","Single","Travel_Frequently","Research & Development",11,"Life Sciences","Manufacturing Director",6499,2,"No",3,6
"No",45,"Male","Divorced","Travel_Rarely","Research & Development",7,"Life Sciences","Research Scientist",9724,1,"No",3,1
"No",35,"Male","Married","Travel_Frequently","Research & Development",1,"Medical","Research Scientist",2194,1,"No",3,3
"Yes",36,"Male","Married","Travel_Rarely","Research & Development",9,"Medical","Research Scientist",3388,3,"Yes",3,1
"No",59,"Female","Single","Travel_Frequently","Sales",1,"Life Sciences","Sales Executive",5473,3,"No",3,4
"No",29,"Male","Married","Travel_Rarely","Research & Development",2,"Life Sciences","Research Scientist",2703,2,"No",4,5
"No",31,"Male","Single","Travel_Rarely","Research & Development",1,"Medical","Research Scientist",2501,2,"No",3,1
"No",32,"Male","Married","Travel_Rarely","Research & Development",1,"Life Sciences","Research Scientist",6220,2,"No",3,10
"No",36,"Female","Married","Travel_Rarely","Research & Development",6,"Life Sciences","Laboratory Technician",3038,4,"No",3,1
"No",31,"Female","Single","Travel_Rarely","Research & Development",8,"Life Sciences","Manufacturing Director",4424,4,"No",4,11
"No",35,"Male","Single","Travel_Rarely","Sales",1,"Marketing","Sales Executive",4312,1,"No",3,15
"No",45,"Male","Married","Travel_Rarely","Research & Development",6,"Other","Research Director",13245,1,"Yes",3,0
"No",37,"Male","Single","Travel_Rarely","Research & Development",7,"Medical","Research Director",13664,3,"No",3,5
"No",46,"Male","Divorced","Travel_Rarely","Human Resources",5,"Medical","Human Resources",5021,2,"Yes",4,4
"No",30,"Male","Married","Travel_Rarely","Research & Development",1,"Life Sciences","Laboratory Technician",5126,4,"Yes",3,10
"No",35,"Male","Single","Travel_Rarely","Research & Development",1,"Medical","Research Scientist",2859,3,"No",3,6
"No",55,"Male","Married","Travel_Rarely","Sales",1,"Life Sciences","Sales Executive",10239,4,"No",3,1
"No",38,"Female","Divorced","Non-Travel","Research & Development",6,"Medical","Research Scientist",5329,4,"Yes",3,13
"No",34,"Male","Married","Travel_Rarely","Research & Development",1,"Medical","Manufacturing Director",4325,2,"No",3,5
"No",56,"Male","Single","Travel_Rarely","Research & Development",7,"Life Sciences","Manufacturing Director",7260,4,"No",3,6
"No",23,"Male","Divorced","Travel_Rarely","Sales",2,"Technical Degree","Sales Representative",2322,1,"No",3,0
"No",51,"Male","Married","Travel_Rarely","Research & Development",9,"Life Sciences","Laboratory Technician",2075,4,"No",4,4
"No",30,"Male","Married","Travel_Rarely","Research & Development",2,"Life Sciences","Healthcare Representative",4152,4,"No",3,11
"Yes",46,"Male","Single","Travel_Rarely","Sales",9,"Medical","Sales Executive",9619,4,"No",3,9
"No",40,"Male","Married","Travel_Frequently","Research & Development",1,"Life Sciences","Healthcare Representative",13503,2,"No",4,22
"No",51,"Male","Single","Travel_Rarely","Sales",21,"Marketing","Sales Executive",5441,4,"Yes",4,10
"No",30,"Female","Divorced","Travel_Rarely","Sales",4,"Medical","Sales Executive",5209,2,"Yes",3,11
"No",46,"Male","Married","Travel_Frequently","Research & Development",1,"Medical","Healthcare Representative",10673,1,"Yes",3,10
"No",32,"Male","Single","Travel_Rarely","Sales",6,"Medical","Sales Executive",5010,3,"No",3,11
"No",54,"Female","Married","Travel_Rarely","Research & Development",2,"Technical Degree","Research Director",13549,3,"No",3,4
"No",24,"Female","Married","Travel_Rarely","Sales",3,"Other","Sales Executive",4999,3,"No",4,3
"No",28,"Male","Married","Non-Travel","Sales",4,"Medical","Sales Executive",4221,3,"No",3,5
"No",58,"Male","Single","Travel_Rarely","Sales",10,"Medical","Sales Executive",13872,3,"No",3,37
"No",44,"Male","Married","Non-Travel","Research & Development",23,"Medical","Laboratory Technician",2042,2,"No",3,3
"Yes",37,"Male","Divorced","Travel_Rarely","Human Resources",6,"Human Resources","Human Resources",2073,1,"Yes",4,3
"No",32,"Male","Single","Travel_Rarely","Research & Development",1,"Life Sciences","Research Scientist",2956,1,"No",3,1
