date_disclosed,country,ifc_country_code,sector,project_name,project_number,company_name,status,ifc_investment_for_risk_management_million_usd,ifc_investment_for_guarantee_million_usd,ifc_investment_for_loan_million_usd,ifc_investment_for_equity_million_usd,total_ifc_investment_as_approved_by_board_million_usd
26.12.18,Morocco,MYC,Health and Education,UPM Maroc,40754,UPM PEDAGOGIQUE,Pending Approval,NA,NA,15.71,NA,15.71
20.12.18,Burkina Faso,BUR,Agribusiness and Forestry,GWFP SOFITEX 5,42144,GWFP BURKINA FASO COTTON,Completed,NA,50,150,NA,200
18.12.18,Mexico,MXC,Agribusiness and Forestry,Biopappel,41357,"Bio Pappel, S.A.B. de C.V.",Pending Approval,NA,NA,40,NA,40
14.12.18,China,CHA,Financial Institutions,JFLC Green Financing Package,41668,"JIANGSU FINANCIAL LEASING CO., LTD.",Active,6,NA,219.28,NA,225.28
14.12.18,Brazil,BRA,Funds,"Vinci Capital Partners III, LLC",40696,"VINCI CAPITAL PARTNERS III, LLC",Active,NA,NA,NA,15,15
10.12.18,Ethiopia,ETH,Agribusiness and Forestry,Habesha,41561,HABESHA BREWERIES SHARE COMPANY,Pending Approval,NA,NA,33.67,NA,33.67
07.12.18,Argentina,ARG,"Telecommunications, Media, and Technology",Telecom Argentina II,40857,TELECOM ARGENTINA S.A.,Active,NA,NA,110,NA,110
04.12.18,Serbia,SRB,Infrastructure,Belgrade WtE,37838,BEO CISTA ENERGIJA D.O.O,Pending Approval,10,NA,85.57,NA,95.57
04.12.18,China,CHA,Health and Education,Zhangmen Education,42177,"SHANGHAI ZHANGMEN EDUCATION TECHNOLOGY CO., LTD.",Active,NA,NA,NA,20,20
04.12.18,World Region,WLD,Funds,RA Energy II,41689,"RESPONSABILITY ACCESS TO CLEAN POWER FUND S.A., SICAF SIF",Pending Approval,NA,NA,30,NA,30
30.11.18,Argentina,ARG,Infrastructure,La Genoveva,41190,VIENTOS LA GENOVEVA S.A.U.,Pending Approval,NA,NA,30,NA,30
29.11.18,Costa Rica,COS,Financial Institutions,Davivienda CR GB,40189,Banco Davivienda (Costa Rica) S.A.,Active,NA,NA,60,NA,60
29.11.18,China,CHA,other,ZH United Lab,40467,THE UNITED LABORATORIES INTERNATIONAL HOLDINGS LIMITED,Completed,NA,NA,NA,NA,NA
29.11.18,Western Africa Region,WAN,other,Ariel Foods Nigeria,41665,SKEYA INVESTMENTS (MAURITIUS) LIMITED,Pending Approval,NA,NA,8,NA,8
21.11.18,Tunisia,TUN,Funds,ISC-Flat6Labs Tunis,41699,ANAVA SEED FUND,Pending Approval,NA,NA,NA,30,30
16.11.18,China,CHA,Financial Institutions,Sumscope,41497,SUMSCOPE INC.,Active,NA,NA,NA,15,15
16.11.18,Mexico,MXC,other,Siegfried,42036,"SIEGFRIED RHEIN, S.A. DE C.V.",Active,NA,NA,75,NA,75
16.11.18,Colombia,CLM,Agribusiness and Forestry,Sinu,41152,REFORESTADORA DEL SINU SUCURSAL COLOMBIA,Active,NA,NA,15,NA,15
15.11.18,Ecuador,ECU,Financial Institutions,Internac Loan II,41844,Banco Internacional S.A.,Active,NA,NA,38.5,NA,38.5
15.11.18,Mongolia,MNG,Financial Institutions,Xac Subdebt,41748,XACBANK LLC,Active,NA,NA,5,NA,5
13.11.18,Brazil,BRA,"Telecommunications, Media, and Technology",Cabo Telecom III,41688,Cabo Servicos de Telecomunicacoes Ltda,Pending Approval,NA,NA,32.06,NA,32.06
12.11.18,World Region,WLD,Financial Institutions,GWFP Phoenix/BNP,41405,PHOENIX GLOBAL DMCC,Active,NA,50,150,NA,200
09.11.18,Colombia,CLM,"Tourism, Retail, and Property",Ara Tiendas I,40643,JERONIMO MARTINS COLOMBIA S A S,Active,NA,NA,93,NA,93
07.11.18,Georgia,GEO,Financial Institutions,Isbank GEO SME,40613,ISBANK GEORGIA JSC,Pending Approval,NA,NA,10,NA,10
07.11.18,Ecuador,ECU,Financial Institutions,PichinchaGBandSD,41625,Banco Pichincha CA,Active,NA,NA,90,NA,90
05.11.18,India,IND,Financial Institutions,UjjivanSFB Tier2,41078,UJJIVAN SMALL FINANCE BANK,Pending Approval,NA,NA,50.65,NA,50.65
05.11.18,Romania,ROM,Financial Institutions,Agricover SME,41560,AGRICOVER CREDIT IFN SA,Active,NA,NA,9.82,NA,9.82
05.11.18,Mexico,MXC,Financial Institutions,DCM CRT Santander,39976,RSF Santander Mexico,Active,NA,111.66,NA,NA,111.66
02.11.18,Mexico,MXC,Infrastructure,"FRV Potrero Solar, S. de R.L. de C.V.",41297,FRV POTRERO SOLAR S. DE R.L. DE C.V.,Active,2,NA,15,NA,17
31.10.18,Africa Region,AFR,Funds,Africa Dvpt III,41790,AFRICAN DEVELOPMENT PARTNERS III LP,Active,NA,NA,NA,20,20
30.10.18,Georgia,GEO,Financial Institutions,Bank of Georgia SME Loan,40689,JSC BANK OF GEORGIA,Pending Approval,NA,NA,74.63,NA,74.63
24.10.18,Brazil,BRA,Financial Institutions,Frida,41746,BANCO SANTANDER BRASIL SA,Active,NA,NA,150,NA,150
22.10.18,Romania,ROM,Financial Institutions,Garanti RO SEF,41800,GARANTI BANK SA,Active,NA,NA,62.54,NA,62.54
22.10.18,Mexico,MXC,Financial Institutions,Loan CS MEXCO II,40457,Credit Suisse Opportunity Trust II,Active,NA,NA,102.29,NA,102.29
22.10.18,"Egypt, Arab Republic of",EGT,Infrastructure,Lekela EG Wind 1,40137,LEKELA EGYPT WIND POWER BOO S.A.E,Active,4,NA,99.1,NA,103.1
18.10.18,World Region,WLD,Agribusiness and Forestry,Hayat Kimya,39959,HAYAT KIMYA SANAYI ANONIM SIRKETI,Hold,NA,NA,NA,NA,NA
18.10.18,Brazil,BRA,Financial Institutions,Golden Grass,41734,BANCO BRADESCO S.A.,Active,NA,NA,150,NA,150
15.10.18,Argentina,ARG,Agribusiness and Forestry,SaMi 2018,41438,S.A. SAN MIGUEL A.G.I.C.I. Y F.,Active,NA,NA,27.5,NA,27.5
12.10.18,Indonesia,INS,Financial Institutions,KEB Hana Indonesia Rights Issue IV,42034,"BANK KEB HANA, PT",Active,NA,NA,NA,15.36,15.36
12.10.18,Argentina,ARG,Manufacturing,Ferrum I,41015,FERRUM S.A.,Active,NA,NA,16,NA,16
11.10.18,Kazakhstan,KAZ,Agribusiness and Forestry,Phoenix KZ,40670,"PHOENIX FRUITS, TOO",Pending Approval,NA,NA,10,NA,10
10.10.18,Western Africa Region,WAN,Funds,Verod III,41705,VEROD CAPITAL MANAGEMENT LTD,Active,NA,NA,NA,15,15
01.10.18,Haiti,HAI,Financial Institutions,Ayiti Leasing,41185,SOCIETE ALTERNATIVE DE SOLUTIONS FINANCIERES S.A.,Active,NA,NA,4,NA,4
25.09.18,Philippines,PHL,Financial Institutions,Voyager,40681,"VOYAGER INNOVATIONS, INC.",Active,NA,NA,NA,10,10
21.09.18,Serbia,SRB,Infrastructure,Belgrade Airport,41123,VINCI AIRPORTS SERBIA D.O.O.,Active,NA,NA,113.39,NA,113.39
20.09.18,China,CHA,Financial Institutions,Xiaomi MCC Loan,40334,"CHONGQING XIAOMI MICROFINANCE CO., LTD.",Active,NA,NA,119.31,NA,119.31
20.09.18,MENA Region,EMN,Infrastructure,Yellow Door,39802,YELLOW DOOR ENERGY LIMITED,Active,NA,NA,NA,5,5
17.09.18,India,IND,Infrastructure,Shadowfax,41235,SHADOWFAX TECHNOLOGIES PRIVATE LIMITED,Active,NA,NA,NA,3.86,3.86
11.09.18,Nigeria,NIR,Infrastructure,Kobo360,41760,KOBO360 INC,Active,NA,NA,NA,3,3
06.09.18,Vietnam,VNM,Financial Institutions,OCB Woman Loan,41259,ORIENT COMMERCIAL JOINT STOCK BANK,Active,NA,NA,57.16,NA,57.16
30.08.18,Myanmar,BUA,"Tourism, Retail, and Property",Metro Myanmar,40001,METRO AG,Active,NA,NA,25,NA,25
30.08.18,Tanzania,TAN,Financial Institutions,DCM TMRC Investment,37277,TANZANIA MORTGAGE REFINANCE COMPANY LIMITED,Pending Approval,NA,NA,10,1.5,11.5
30.08.18,South Africa,SOU,Manufacturing,CLN S-Africa II,38988,C.L.N. â€“ COILS LAMIERE NASTRI S.P.A.,Active,NA,NA,55.59,NA,55.59
17.08.18,Mexico,MXC,Financial Institutions,Progresemos V,41306,FINANCIAMIENTO PROGRESEMOS SA DE CV SOFOM ENR,Active,NA,NA,12.44,NA,12.44
16.08.18,Lebanon,LEB,Financial Institutions,WCS Bank Beirut,41344,BANK OF BEIRUT SAL,Pending Approval,NA,NA,100,NA,100
14.08.18,Ethiopia,ETH,Funds,Zoscales I,41435,ZOSCALES PARTNERS PLC,Active,NA,NA,NA,250,250
13.08.18,Uzbekistan,UZB,Financial Institutions,Ipak Yuli WCS,39320,IPAK YULI BANK JSIB,Active,NA,NA,15,NA,15
13.08.18,Argentina,ARG,Health and Education,Hospital Aleman,40682,HOSPITAL ALEMAN ASOCIACION CIVIL,Hold,NA,NA,10,NA,10
10.08.18,Indonesia,INS,Financial Institutions,JV Housing Indo,41368,JV INDOSURYA HOUSING FINANCE INDONESIA,Pending Approval,NA,NA,NA,NA,NA
09.08.18,Ethiopia,ETH,Funds,Cepheus Fund,41432,CEPHEUS GROWTH CAPITAL FUND L.P.,Active,NA,NA,NA,250,250
06.08.18,Lebanon,LEB,Financial Institutions,SGBL SSL MCPP,41500,SOCIETE GENERALE DE BANQUE AU LIBAN SAL,Active,1.5,NA,57.16,NA,58.66
03.08.18,Indonesia,INS,"Tourism, Retail, and Property",Trans Corpora,40677,"TRANS CORPORA, PT",Active,NA,NA,60,NA,60
01.08.18,El Salvador,ESL,Infrastructure,Acajutla LNG,34588,ENERGIA DEL PACIFICO S.A. DE C.V.,Pending Approval,NA,NA,NA,NA,NA
30.07.18,World Region,WLD,other,Capria Fund LLC,41287,Capria Ventures LLC,Active,NA,NA,NA,250,250
30.07.18,Nepal,NEP,Infrastructure,Upper Trishuli-1,35701,NEPAL WATER AND ENERGY DEVELOPMENT CO PVT LTD,Pending Approval,NA,NA,90,14.6,104.6
30.07.18,Mexico,MXC,Financial Institutions,Sabadell Mex,40408,BANCO SABADELL S.A. INSTITUCION DE BANCA MULTIPLE,Active,NA,NA,100,NA,100
25.07.18,India,IND,Agribusiness and Forestry,Srinivasa Farms,41149,SRINIVASA FARMS PRIVATE LIMITED,Active,NA,NA,0,20.69,20.69
23.07.18,Ukraine,UKR,other,Mariupol Buses,40540,CITY OF MARIUPOL,Active,NA,NA,14.32,NA,14.32
23.07.18,Indonesia,INS,Infrastructure,Riau IPP,39879,PT MEDCO RATCH POWER RIAU,Pending Approval,1.5,NA,50,NA,51.5
18.07.18,Turkey,TUR,Financial Institutions,Abank SME,40903,ALTERNATIFBANK ANONIM SIRKETI,Active,NA,NA,80,NA,80
18.07.18,Brazil,BRA,Health and Education,Cruzeiro Growth,41309,CRUZEIRO DO SUL EDUCACIONAL SA,Pending Approval,NA,NA,NA,NA,NA
18.07.18,East Asia and Pacific Region,EAP,Funds,Jungle Fund III,41499,JUNGLE VENTURES III LP,Active,NA,NA,NA,10,10
13.07.18,Colombia,CLM,Infrastructure,ESIP Liftit 2018,41635,LIFTIT S A S,Active,NA,NA,NA,4,4
10.07.18,East Asia and Pacific Region,EAP,Financial Institutions,DARP SPV Altus Regional Facility,41035,DARP Altus Regional Facility,Active,NA,NA,NA,15,15
06.07.18,Romania,ROM,Financial Institutions,BT B3T2 Bond,41084,BANCA TRANSILVANIA SA,Active,NA,NA,145.16,NA,145.16
